,open,close,high,low,volume,open interest
20181128,10755,10870,10980,10735,288936,223656
20181129,10865,10870,11000,10765,224110,203138
20181130,10895,10915,10965,10860,221814,181328
20181203,10900,10885,11310,10725,306082,164738
20181204,11140,11160,11205,11085,190554,250316
20181205,11150,11215,11225,11030,285548,261794
20181206,11235,11205,11355,11160,297764,264010
20181207,11155,11245,11325,11120,270154,270758
20181210,11230,11215,11425,11175,340470,281580
20181211,11220,11140,11235,11040,254432,291186
20181212,11150,11245,11250,11120,214254,288464
20181213,11255,11365,11400,11210,368950,305540
20181214,11325,11295,11340,11220,231372,302302
20181217,11295,11340,11420,11270,253576,308996
20181218,11345,11425,11550,11335,408918,319364
20181219,11425,11305,11460,11275,262426,316470
20181220,11305,11490,11525,11305,344642,326642
20181221,11475,11325,11490,11240,295320,325796
20181224,11325,11350,11360,11255,220598,325530
20181225,11360,11050,11395,10910,459396,339836
20181226,11055,11040,11105,11025,168210,338652
20181227,11070,11255,11305,11050,293026,328244
20181228,11240,11305,11375,11200,244632,322472
20190102,11280,11290,11340,11210,139576,327160
20190103,11290,11450,11485,11285,310712,335950
20190104,11490,11845,11850,11480,545518,350052
20190107,11980,11675,11980,11640,378752,351368
20190108,11680,11675,11735,11605,293944,354876
20190109,11690,11785,11840,11675,310902,355432
20190110,11755,11640,11765,11610,244444,358582
20190111,11605,11640,11720,11530,313142,358226
20190114,11580,11505,11690,11460,304140,358652
20190115,11520,11505,11570,11460,236888,357940
20190116,11500,11640,11715,11480,295048,360052
20190117,11620,11575,11690,11570,181098,360240
20190118,11570,11660,11770,11520,325716,357106
20190121,11675,11845,11970,11665,432770,365832
20190122,11840,11580,11885,11550,389184,358574
20190123,11580,11615,11665,11555,184520,362740
20190124,11600,11610,11690,11525,242300,361166
20190125,11600,11610,11750,11595,264262,356604
20190128,11630,11555,11775,11550,279152,351670
20190129,11550,11460,11605,11420,272850,352932
20190130,11480,11375,11555,11350,229822,350468
20190131,11410,11330,11415,11235,292726,346310
20190201,11360,11420,11465,11340,215522,332404
20190211,11400,11305,11410,11265,149356,344226
20190212,11310,11615,11680,11310,382086,332022
